Domaine,Zone,Élément,Produit,Année,Unité,Valeur
"Intensités des émissions","Japon","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.3016"
"Intensités des émissions","Jordanie","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.4587"
"Intensités des émissions","Kazakhstan","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.3285"
"Intensités des émissions","Kenya","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","1.2058"
"Intensités des émissions","Kirghizistan","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.1435"
"Intensités des émissions","Kiribati","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","2.0888"
"Intensités des émissions","Koweït","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","3.1206"
"Intensités des émissions","Lesotho","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.3017"
"Intensités des émissions","Liban","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","1.9111"
"Intensités des émissions","Libéria","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","2.0792"
"Intensités des émissions","Libye","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.8443"
"Intensités des émissions","Lituanie","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.1783"
"Intensités des émissions","Luxembourg","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.1872"
"Intensités des émissions","Macédoine du Nord","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.7586"
"Intensités des émissions","Madagascar","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","2.8831"
"Intensités des émissions","Malaisie","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.4335"
"Intensités des émissions","Malawi","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.4151"
"Intensités des émissions","Mali","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","3.1766"
"Intensités des émissions","Malte","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.6269"
"Intensités des émissions","Maroc","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","1.0108"
"Intensités des émissions","Maurice","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","1.1869"
"Intensités des émissions","Mauritanie","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","3.0411"
"Intensités des émissions","Mexique","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.4158"
"Intensités des émissions","Micronésie (États fédérés de)","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","2.134"
"Intensités des émissions","Mongolie","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","4.0799"
"Intensités des émissions","Monténégro","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.124"
"Intensités des émissions","Mozambique","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.3624"
"Intensités des émissions","Myanmar","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.5848"
"Intensités des émissions","Namibie","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","1.3014"
"Intensités des émissions","Nauru","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.8637"
"Intensités des émissions","Népal","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","3.5002"
